Output of `python main.py --cuda --epochs 6 --data ../../../visdial_text --model GRU --save model_gru_6.pt 2>&1 | tee model_gru_6.txt`:
| epoch   1 | 12000/15891 batches | lr 20.00 | ms/batch 62.34 | loss  2.98 | ppl    19.72
| epoch   1 | 12200/15891 batches | lr 20.00 | ms/batch 62.41 | loss  2.99 | ppl    19.84
| epoch   1 | 12400/15891 batches | lr 20.00 | ms/batch 62.39 | loss  2.95 | ppl    19.18
| epoch   1 | 12600/15891 batches | lr 20.00 | ms/batch 62.36 | loss  2.98 | ppl    19.62
| epoch   1 | 12800/15891 batches | lr 20.00 | ms/batch 62.38 | loss  3.00 | ppl    20.03
| epoch   1 | 13000/15891 batches | lr 20.00 | ms/batch 62.36 | loss  2.99 | ppl    19.80
| epoch   1 | 13200/15891 batches | lr 20.00 | ms/batch 62.34 | loss  2.98 | ppl    19.74
| epoch   1 | 13400/15891 batches | lr 20.00 | ms/batch 62.35 | loss  2.99 | ppl    19.94
| epoch   1 | 13600/15891 batches | lr 20.00 | ms/batch 62.40 | loss  2.96 | ppl    19.24
| epoch   1 | 13800/15891 batches | lr 20.00 | ms/batch 62.38 | loss  2.97 | ppl    19.43
| epoch   1 | 14000/15891 batches | lr 20.00 | ms/batch 62.32 | loss  3.00 | ppl    20.09
| epoch   1 | 14200/15891 batches | lr 20.00 | ms/batch 62.36 | loss  2.96 | ppl    19.21
| epoch   1 | 14400/15891 batches | lr 20.00 | ms/batch 62.37 | loss  2.99 | ppl    19.81
| epoch   1 | 14600/15891 batches | lr 20.00 | ms/batch 62.35 | loss  2.97 | ppl    19.51
| epoch   1 | 14800/15891 batches | lr 20.00 | ms/batch 62.37 | loss  2.97 | ppl    19.47
| epoch   1 | 15000/15891 batches | lr 20.00 | ms/batch 62.36 | loss  2.98 | ppl    19.69
| epoch   1 | 15200/15891 batches | lr 20.00 | ms/batch 62.35 | loss  2.98 | ppl    19.75
| epoch   1 | 15400/15891 batches | lr 20.00 | ms/batch 62.39 | loss  2.98 | ppl    19.59
| epoch   1 | 15600/15891 batches | lr 20.00 | ms/batch 62.35 | loss  2.99 | ppl    19.86
| epoch   1 | 15800/15891 batches | lr 20.00 | ms/batch 62.39 | loss  4.15 | ppl    63.67
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 994.52s | valid loss  6.29 | valid ppl   541.61
-----------------------------------------------------------------------------------------
| epoch   2 |   200/15891 batches | lr 20.00 | ms/batch 62.67 | loss  8.66 | ppl  5792.93
| epoch   2 |   400/15891 batches | lr 20.00 | ms/batch 62.31 | loss  7.02 | ppl  1118.05
| epoch   2 |   600/15891 batches | lr 20.00 | ms/batch 62.30 | loss  5.49 | ppl   241.11
| epoch   2 |   800/15891 batches | lr 20.00 | ms/batch 62.29 | loss  5.43 | ppl   228.95
| epoch   2 |  1000/15891 batches | lr 20.00 | ms/batch 62.33 | loss  4.97 | ppl   144.04
| epoch   2 |  1200/15891 batches | lr 20.00 | ms/batch 62.35 | loss  4.77 | ppl   118.24
| epoch   2 |  1400/15891 batches | lr 20.00 | ms/batch 62.36 | loss  4.71 | ppl   110.55
| epoch   2 |  1600/15891 batches | lr 20.00 | ms/batch 62.34 | loss  4.66 | ppl   105.67
| epoch   2 |  1800/15891 batches | lr 20.00 | ms/batch 62.32 | loss  4.57 | ppl    97.00
| epoch   2 |  2000/15891 batches | lr 20.00 | ms/batch 62.30 | loss  4.36 | ppl    78.09
| epoch   2 |  2200/15891 batches | lr 20.00 | ms/batch 62.32 | loss  4.48 | ppl    88.23
| epoch   2 |  2400/15891 batches | lr 20.00 | ms/batch 62.35 | loss  4.40 | ppl    81.40
| epoch   2 |  2600/15891 batches | lr 20.00 | ms/batch 62.29 | loss  4.25 | ppl    69.96
| epoch   2 |  2800/15891 batches | lr 20.00 | ms/batch 62.27 | loss  4.38 | ppl    79.81
| epoch   2 |  3000/15891 batches | lr 20.00 | ms/batch 62.29 | loss  4.43 | ppl    84.14
| epoch   2 |  3200/15891 batches | lr 20.00 | ms/batch 62.30 | loss  4.32 | ppl    75.27
| epoch   2 |  3400/15891 batches | lr 20.00 | ms/batch 62.32 | loss  4.22 | ppl    68.04
| epoch   2 |  3600/15891 batches | lr 20.00 | ms/batch 62.29 | loss  4.22 | ppl    68.25
| epoch   2 |  3800/15891 batches | lr 20.00 | ms/batch 62.36 | loss  4.10 | ppl    60.07
| epoch   2 |  4000/15891 batches | lr 20.00 | ms/batch 62.36 | loss  4.15 | ppl    63.22
| epoch   2 |  4200/15891 batches | lr 20.00 | ms/batch 62.35 | loss  4.13 | ppl    61.87
| epoch   2 |  4400/15891 batches | lr 20.00 | ms/batch 62.28 | loss  4.11 | ppl    61.10
| epoch   2 |  4600/15891 batches | lr 20.00 | ms/batch 62.33 | loss  4.07 | ppl    58.57
| epoch   2 |  4800/15891 batches | lr 20.00 | ms/batch 62.34 | loss  4.01 | ppl    55.16
| epoch   2 |  5000/15891 batches | lr 20.00 | ms/batch 62.40 | loss  4.03 | ppl    56.42
| epoch   2 |  5200/15891 batches | lr 20.00 | ms/batch 62.33 | loss  4.02 | ppl    55.48
| epoch   2 |  5400/15891 batches | lr 20.00 | ms/batch 62.37 | loss  3.99 | ppl    54.11
| epoch   2 |  5600/15891 batches | lr 20.00 | ms/batch 62.34 | loss  4.04 | ppl    56.98
| epoch   2 |  5800/15891 batches | lr 20.00 | ms/batch 62.35 | loss  4.03 | ppl    56.36
| epoch   2 |  6000/15891 batches | lr 20.00 | ms/batch 62.36 | loss  3.98 | ppl    53.51
| epoch   2 |  6200/15891 batches | lr 20.00 | ms/batch 62.33 | loss  3.94 | ppl    51.62
| epoch   2 |  6400/15891 batches | lr 20.00 | ms/batch 62.40 | loss  4.00 | ppl    54.45
